SEASON,HOME_TEAM,AWAY_TEAM,HT_SCORE,AW_SCORE
2018,AS Monaco,Atlético Madrid,1,2
2018,Club Brugge KV,Borussia Dortmund,0,1
2018,Borussia Dortmund,AS Monaco,3,0
2018,Atlético Madrid,Club Brugge KV,3,1
2018,Club Brugge KV,AS Monaco,1,1
2018,Borussia Dortmund,Atlético Madrid,4,0
2018,AS Monaco,Club Brugge KV,0,4
2018,Atlético Madrid,Borussia Dortmund,2,0
2018,Atlético Madrid,AS Monaco,2,0
2018,Borussia Dortmund,Club Brugge KV,0,0
2018,AS Monaco,Borussia Dortmund,0,2
2018,Club Brugge KV,Atlético Madrid,0,0
2018,FC Barcelona,PSV Eindhoven,4,0
2018,Inter,Tottenham Hotspur,2,1
2018,Tottenham Hotspur,FC Barcelona,2,4
2018,PSV Eindhoven,Inter,1,2
2018,PSV Eindhoven,Tottenham Hotspur,2,2
2018,FC Barcelona,Inter,2,0
2018,Tottenham Hotspur,PSV Eindhoven,2,1
2018,Inter,FC Barcelona,1,1
2018,PSV Eindhoven,FC Barcelona,1,2
2018,Tottenham Hotspur,Inter,1,0
2018,FC Barcelona,Tottenham Hotspur,1,1
2018,Inter,PSV Eindhoven,1,1
2018,Liverpool FC,Paris Saint-Germain,3,2
2018,Crvena Zvezda,SSC Napoli,0,0
2018,Paris Saint-Germain,Crvena Zvezda,6,1
2018,SSC Napoli,Liverpool FC,1,0
2018,Paris Saint-Germain,SSC Napoli,2,2
2018,Liverpool FC,Crvena Zvezda,4,0
2018,Crvena Zvezda,Liverpool FC,2,0
2018,SSC Napoli,Paris Saint-Germain,1,1
2018,Paris Saint-Germain,Liverpool FC,2,1
2018,SSC Napoli,Crvena Zvezda,3,1
2018,Liverpool FC,SSC Napoli,1,0
2018,Crvena Zvezda,Paris Saint-Germain,1,4
2018,FC Schalke 04,FC Porto,1,1
2018,Galatasaray,Lokomotiv Moskva,3,0
2018,Lokomotiv Moskva,FC Schalke 04,0,1
2018,FC Porto,Galatasaray,1,0
2018,Lokomotiv Moskva,FC Porto,1,3
2018,Galatasaray,FC Schalke 04,0,0
2018,FC Porto,Lokomotiv Moskva,4,1
2018,FC Schalke 04,Galatasaray,2,0
2018,Lokomotiv Moskva,Galatasaray,2,0
2018,FC Porto,FC Schalke 04,3,1
2018,FC Schalke 04,Lokomotiv Moskva,1,0
2018,Galatasaray,FC Porto,2,3
2018,AFC Ajax,AEK Athen,3,0
2018,SL Benfica,Bayern München,0,2
2018,Bayern München,AFC Ajax,1,1
2018,AEK Athen,SL Benfica,2,3
2018,AEK Athen,Bayern München,0,2
2018,AFC Ajax,SL Benfica,1,0
2018,SL Benfica,AFC Ajax,1,1
2018,Bayern München,AEK Athen,2,0
2018,AEK Athen,AFC Ajax,0,2
2018,Bayern München,SL Benfica,5,1
2018,AFC Ajax,Bayern München,3,3
2018,SL Benfica,AEK Athen,1,0
2018,Shakhtar Donetsk,1899 Hoffenheim,2,2
2018,Manchester City,Olympique Lyon,1,2
2018,1899 Hoffenheim,Manchester City,1,2
2018,Olympique Lyon,Shakhtar Donetsk,2,2
2018,Shakhtar Donetsk,Manchester City,0,3
2018,1899 Hoffenheim,Olympique Lyon,3,3
2018,Manchester City,Shakhtar Donetsk,6,0
2018,Olympique Lyon,1899 Hoffenheim,2,2
2018,Olympique Lyon,Manchester City,2,2
2018,1899 Hoffenheim,Shakhtar Donetsk,2,3
2018,Shakhtar Donetsk,Olympique Lyon,1,1
2018,Manchester City,1899 Hoffenheim,2,1
2018,Real Madrid,AS Roma,3,0
2018,Viktoria Plze?,CSKA Moskva,2,2
2018,CSKA Moskva,Real Madrid,1,0
2018,AS Roma,Viktoria Plze?,5,0
2018,AS Roma,CSKA Moskva,3,0
2018,Real Madrid,Viktoria Plze?,2,1
2018,CSKA Moskva,AS Roma,1,2
2018,Viktoria Plze?,Real Madrid,0,5
2018,CSKA Moskva,Viktoria Plze?,1,2
2018,AS Roma,Real Madrid,0,2
2018,Real Madrid,CSKA Moskva,0,3
2018,Viktoria Plze?,AS Roma,2,1
2018,Valencia CF,Juventus,0,2
2018,BSC Young Boys,Manchester United,0,3
2018,Juventus,BSC Young Boys,3,0
2018,Manchester United,Valencia CF,0,0
2018,BSC Young Boys,Valencia CF,1,1
2018,Manchester United,Juventus,0,1
2018,Valencia CF,BSC Young Boys,3,1
2018,Juventus,Manchester United,1,2
2018,Juventus,Valencia CF,1,0
2018,Manchester United,BSC Young Boys,1,0
2018,Valencia CF,Manchester United,2,1
2018,BSC Young Boys,Juventus,2,1
2018,Manchester United,Paris Saint-Germain,0,2
2018,AS Roma,FC Porto,2,1
2018,Tottenham Hotspur,Borussia Dortmund,3,0
2018,AFC Ajax,Real Madrid,1,2
2018,Olympique Lyon,FC Barcelona,0,0
2018,Liverpool FC,Bayern München,0,0
2018,FC Schalke 04,Manchester City,2,3
2018,Atlético Madrid,Juventus,2,0
2018,Borussia Dortmund,Tottenham Hotspur,0,1
2018,Real Madrid,AFC Ajax,1,4
2018,Paris Saint-Germain,Manchester United,1,3
2018,FC Porto,AS Roma,3,1
2018,Manchester City,FC Schalke 04,7,0
2018,Juventus,Atlético Madrid,3,0
2018,FC Barcelona,Olympique Lyon,5,1
2018,Bayern München,Liverpool FC,1,3
2018,Liverpool FC,FC Porto,2,0
2018,Tottenham Hotspur,Manchester City,1,0
2018,AFC Ajax,Juventus,1,1
2018,Manchester United,FC Barcelona,0,1
2018,Juventus,AFC Ajax,1,2
2018,FC Barcelona,Manchester United,3,0
2018,FC Porto,Liverpool FC,1,4
2018,Manchester City,Tottenham Hotspur,4,3
2018,Tottenham Hotspur,AFC Ajax,0,1
2018,FC Barcelona,Liverpool FC,3,0
2018,Liverpool FC,FC Barcelona,4,0
2018,AFC Ajax,Tottenham Hotspur,2,3
2018,Tottenham Hotspur,Liverpool FC,0,2
